map_id,participant,agent_type,distance,duration,speed,angle,num_cars,distractors,accumulated_head_turns,end_x,end_z,end_to_target_dist,estimate_correct,estimate_to_target_dist,idx
M0128,agent_10,agent,0.0,3.0534351145038165,0.0,side,7,0,60.0,36.916666666666664,-2.0714285714285694,6.58199912548728,1,1.03571421759489,154
M0128,agent_11,agent,0.0,3.0534351145038165,0.0,side,7,0,60.0,36.916666666666664,-2.0714285714285694,6.58199912548728,1,2.16666603088379,154
M0128,agent_12,agent,0.0,3.0534351145038165,0.0,side,7,0,60.0,36.916666666666664,-2.0714285714285694,6.58199912548728,1,6.394217297418212e-07,154
M0129,p01,human,0.19674332040613635,1.32,0.14904797000464873,side,7,0,94.912841796875,31.36217498779297,5.320766925811768,7.170416718050084,1,1.1682163767752654,89
M0129,p02,human,0.21211797163670762,1.783,0.11896689379512486,side,7,0,103.211181640625,31.28448486328125,5.140590667724609,7.339467083376794,1,0.9009247978535334,221
M0129,p03,human,0.07105988028679941,1.442,0.04927869645409113,side,7,0,131.0438232421875,31.449058532714844,5.2263336181640625,7.275855116782266,1,1.2803924347643165,47
M0129,p04,human,0.38962571273923835,2.113,0.18439456353016487,side,7,0,120.12201690673828,31.498764038085938,5.568517684936523,6.944874167411734,1,1.040227925966791,57
M0129,p05,human,0.1866621989493265,1.774,0.10522108170762486,side,7,0,105.69236755371094,31.49431610107422,5.365428447723389,7.144880845108049,1,0.19708681416847657,189
M0129,p06,human,0.08992335983631265,1.216,0.07395013144433607,side,7,0,82.20023155212402,31.439632415771484,5.245898246765137,7.255153904328691,1,0.4356131669971825,172
M0129,p07,human,0.17012038044054248,1.218,0.1396719051235981,side,7,0,96.5172348022461,31.33137321472168,5.170461654663086,7.315521217085251,1,0.1405069839261993,141
M0129,p08,human,0.20242641183076385,1.331,0.15208595930185112,side,7,0,92.02863311767578,31.34760284423828,5.312080383300781,7.177122823670767,1,1.158119246118717,253
M0129,p09,human,0.1549554148190304,2.077,0.0746053995276988,side,7,0,98.42759704589844,31.40322494506836,5.054766654968262,7.439509348658328,1,0.45301377558727923,222
M0129,p10,human,0.6752870980070413,3.316,0.20364508383807037,side,7,0,105.33757019042969,31.404617309570312,5.845378398895264,6.656912330997814,1,1.7430915085739938,0
M0129,p11,human,0.13488042930470276,2.218,0.06081173548453686,side,7,0,115.97704315185547,31.634069442749023,5.166398525238037,7.363506658019743,1,0.9098796966430801,179
M0129,p12,human,0.2108555096581571,1.331,0.158418865257819,side,7,0,100.16830444335938,31.288089752197266,5.208082675933838,7.272883957818106,1,0.562941599424796,176
M0129,agent_1,agent,0.0,3.0534351145038165,0.0,side,7,0,59.99999999999999,31.5,5.178571428571427,7.330492237195101,1,1.4987705797736977,87
M0129,agent_2,agent,0.0,3.0534351145038165,0.0,side,7,0,59.99999999999999,31.5,5.178571428571427,7.330492237195101,1,1.0357145581928575,87
M0129,agent_3,agent,0.0,3.0534351145038165,0.0,side,7,0,59.99999999999999,31.5,5.178571428571427,7.330492237195101,1,1.083332697550491,87
M0129,agent_4,agent,0.0,3.0534351145038165,0.0,side,7,0,59.99999999999999,31.5,5.178571428571427,7.330492237195101,1,1.0357145581928575,87
M0129,agent_5,agent,0.0,3.0534351145038165,0.0,side,7,0,59.99999999999999,31.5,5.178571428571427,7.330492237195101,1,2.3376109452331133,87
M0129,agent_6,agent,0.0,3.0534351145038165,0.0,side,7,0,59.99999999999999,31.5,5.178571428571427,7.330492237195101,1,1.4987705797736977,87
M0129,agent_7,agent,0.0,3.0534351145038165,0.0,side,7,0,59.99999999999999,31.5,5.178571428571427,7.330492237195101,1,2.3376109452331133,87
M0129,agent_8,agent,0.0,3.0534351145038165,0.0,side,7,0,59.99999999999999,31.5,5.178571428571427,7.330492237195101,1,2.0714288439070447,87
M0129,agent_9,agent,0.0,3.0534351145038165,0.0,side,7,0,59.99999999999999,31.5,5.178571428571427,7.330492237195101,1,1.0357145581928575,87
M0129,agent_10,agent,0.0,3.0534351145038165,0.0,side,7,0,59.99999999999999,31.5,5.178571428571427,7.330492237195101,1,1.083332697550491,87
M0129,agent_11,agent,0.0,3.0534351145038165,0.0,side,7,0,59.99999999999999,31.5,5.178571428571427,7.330492237195101,1,1.4987705797736977,87
M0129,agent_12,agent,0.0,3.0534351145038165,0.0,side,7,0,59.99999999999999,31.5,5.178571428571427,7.330492237195101,1,1.0357145581928575,87
M0130,p01,human,0.20782262860645603,1.62,0.12828557321386175,side,7,0,149.71499633789062,31.455659866333008,-6.413496017456055,6.383931385252254,1,1.2562678407116488,109
M0130,p02,human,0.1751457611786536,1.542,0.11358350270989209,side,7,0,70.42835235595703,31.656082153320312,-6.281463623046875,6.144108942133265,1,0.44106331945962,170
M0130,p03,human,0.09491414555665821,1.331,0.07131040237164404,side,7,0,69.1243667602539,31.55827522277832,-6.287289619445801,6.231027643138559,1,0.8042066039672988,183
M0130,p04,human,0.21942906904319834,1.893,0.1159160428120435,side,7,0,140.11379125714302,31.40692710876465,-6.413136959075928,6.425483682923375,1,1.115049536259142,96
M0130,p05,human,0.20084719785515964,1.862,0.10786637908440366,side,7,0,104.44048309326172,31.672821044921875,-6.303199768066406,6.141067462820829,1,1.1301060677979673,235
M0130,p06,human,0.05949174509814547,1.513,0.039320386713909763,side,7,0,95.23542588949203,31.541826248168945,-6.25785493850708,6.2302415188858,1,0.4795061567880793,142
M0130,p07,human,0.12483795211885829,1.207,0.1034282950446216,side,7,0,79.77184295654297,31.598186492919922,-6.288169860839844,6.197191077335137,1,0.6651734589018203,162
M0130,p08,human,0.411583990046791,1.975,0.20839695698571697,side,7,0,69.53894664626569,31.8541316986084,-6.418422698974609,6.049284826928038,1,0.835009218090973,170
M0130,p09,human,0.4307906320360726,2.86,0.1506260951175079,side,7,0,72.34399284422398,31.57674789428711,-6.640725612640381,6.403198629143558,1,0.9983906220217111,99
M0130,p10,human,1.6557326686100042,6.348,0.26082745252205486,side,7,0,302.029854811728,33.15315628051758,-6.2979817390441895,4.93411312530343,1,0.8249276430224332,13
M0130,p11,human,0.011527133735334856,1.957,0.005890206303185925,side,7,0,90.22193145751953,31.498517990112305,-6.230411052703857,6.253891001305138,1,1.1322098397011786,49
M0130,p12,human,0.22061238075056555,1.43,0.15427439213326263,side,7,0,75.57159695029259,31.7064208984375,-6.293837547302246,6.10751150877582,1,1.346478561316756,258
M0130,agent_1,agent,0.0,2.2900763358778624,0.0,side,7,0,29.999999999999996,31.5,-6.214285714285715,6.2445678685121475,1,1.4987720996534628,107
M0130,agent_2,agent,0.0,2.2900763358778624,0.0,side,7,0,29.999999999999996,31.5,-6.214285714285715,6.2445678685121475,1,1.2733890824675056e-06,107
M0130,agent_3,agent,0.0,2.2900763358778624,0.0,side,7,0,29.999999999999996,31.5,-6.214285714285715,6.2445678685121475,1,1.2733890824675056e-06,107
M0130,agent_4,agent,0.0,2.2900763358778624,0.0,side,7,0,29.999999999999996,31.5,-6.214285714285715,6.2445678685121475,1,1.2733890824675056e-06,107
M0130,agent_5,agent,0.0,2.2900763358778624,0.0,side,7,0,29.999999999999996,31.5,-6.214285714285715,6.2445678685121475,1,1.4987720996534628,107
